,,,,,,,,,"Survey","Participant","Question 1"
"05/22/2024 01:36PM","05/22/2024 01:36PM","05/21/2024 09:00PM - 05/23/2024 12:00PM",11.4,"Yes","6642d2b9390031c62161d516",,,"no","10.67.249.10","Participant 62","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=6642d2b9390031c62161d516"
"05/21/2024 09:08PM","05/21/2024 09:09PM","05/21/2024 09:00PM - 05/23/2024 12:00PM",21.024,"Yes","6643742f442523ed879005d1",,,"no","10.0.0.14","Participant 63","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=6643742f442523ed879005d1"
"05/22/2024 11:19AM","05/22/2024 11:19AM","05/21/2024 09:00PM - 05/23/2024 12:00PM",13.222,"Yes","66402d02390031c6215596a5","0.0","0.0","no","2600:380:a4b0:c089:3818:6e9:133e:e7cd","Participant 65",
"05/23/2024 06:46PM","05/23/2024 06:47PM","05/22/2024 09:00PM - 05/24/2024 12:00PM",26.532,"Yes","6643ea96442523ed8792f72b",,,"no","100.70.69.238","Participant 66","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=6643ea96442523ed8792f72b"
"05/22/2024 09:05PM","05/22/2024 09:05PM","05/22/2024 09:00PM - 05/24/2024 12:00PM",41.217,"Yes","6644618e390031c62169a4f4","0.0","0.0","no","2603:7081:7701:55b5::185f","Participant 67",
"05/24/2024 12:09PM","05/24/2024 12:10PM","05/24/2024 12:00PM - 05/24/2024 11:59PM",9.973,"Yes","6644618e390031c62169a4f4","0.0","0.0","no","2620:cc:8000:1c80::a332","Participant 67",
"05/23/2024 09:05PM","05/23/2024 09:05PM","05/23/2024 09:00PM - 05/25/2024 12:00PM",30.479,"Yes","6645fcd5442523ed879e2b3c","0.0","0.0","no","192.168.0.12","Participant 68",
"05/25/2024 12:10PM","05/25/2024 12:11PM","05/25/2024 12:00PM - 05/25/2024 11:59PM",16.764,"Yes","6645fcd5442523ed879e2b3c","0.0","0.0","no","2600:1000:110f:1267:e899:d2a5:d252:69c7","Participant 68",
"05/24/2024 09:40AM","05/24/2024 09:41AM","05/23/2024 09:00PM - 05/25/2024 12:00PM",7.211,"Yes","66460380442523ed879e5855","0.0","0.0","no","192.168.4.92","Participant 69",
"05/23/2024 09:00PM","05/23/2024 09:01PM","05/23/2024 09:00PM - 05/25/2024 12:00PM",51.702,"Yes","6645f681442523ed879df31a",,,"no","10.165.241.107","Participant 70","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=6645f681442523ed879df31a"
"05/23/2024 09:23PM","05/23/2024 09:23PM","05/23/2024 09:00PM - 05/25/2024 12:00PM",11.088,"Yes","66461e48442523ed879f60d5",,,"no","192.0.0.4","Participant 71","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=66461e48442523ed879f60d5"
"05/24/2024 03:07AM","05/24/2024 03:07AM","05/23/2024 09:00PM - 05/25/2024 12:00PM",17.612,"Yes","6645fd34442523ed879e2e74","0.0","0.0","no","2601:344:180:32d0::b785","Participant 72",
"05/24/2024 09:24PM","05/24/2024 09:25PM","05/24/2024 09:00PM - 05/26/2024 12:00PM",27.779,"Yes","66470cb2390031c6217b308b",,,"no","10.111.129.192","Participant 74","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=66470cb2390031c6217b308b"
"05/26/2024 12:02PM","05/26/2024 12:03PM","05/26/2024 12:00PM - 05/26/2024 11:59PM",38.649,"Yes","66470cb2390031c6217b308b",,,"no","10.244.123.206","Participant 74","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=66470cb2390031c6217b308b"
"05/24/2024 09:04PM","05/24/2024 09:05PM","05/24/2024 09:00PM - 05/26/2024 12:00PM",76.051,"Yes","66476a327ef6a98d4035a7f5","0.0","0.0","no","192.168.38.204","Participant 75",
"05/24/2024 09:01PM","05/24/2024 09:02PM","05/24/2024 09:00PM - 05/26/2024 12:00PM",43.066,"Yes","66476ba47ef6a98d4035b8cd",,,"no","10.166.99.240","Participant 76","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=66476ba47ef6a98d4035b8cd"
"05/26/2024 12:23PM","05/26/2024 12:24PM","05/26/2024 12:00PM - 05/26/2024 11:59PM",22.496,"Yes","66476ba47ef6a98d4035b8cd",,,"no","10.166.90.237","Participant 76","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=66476ba47ef6a98d4035b8cd"
"05/24/2024 09:02PM","05/24/2024 09:02PM","05/24/2024 09:00PM - 05/26/2024 12:00PM",12.136,"Yes","6647504e7ef6a98d4034d087","0.0","0.0","no","2600:1700:8950:8530::49","Participant 77",
"05/26/2024 12:01PM","05/26/2024 12:01PM","05/26/2024 12:00PM - 05/26/2024 11:59PM",8.791,"Yes","6647504e7ef6a98d4034d087","0.0","0.0","no","2600:1700:8950:8530::49","Participant 77",
"05/24/2024 09:03PM","05/24/2024 09:03PM","05/24/2024 09:00PM - 05/26/2024 12:00PM",22.453,"Yes","6647811a7ef6a98d40365047","0.0","0.0","no","192.168.1.13","Participant 78",
"05/24/2024 09:04PM","05/24/2024 09:05PM","05/24/2024 09:00PM - 05/26/2024 12:00PM",22.06,"Yes","66479d9a7ef6a98d40370b4e","0.0","0.0","no","2607:fb90:bebe:c023::cc87","Participant 79",
"05/24/2024 09:02PM","05/24/2024 09:03PM","05/24/2024 09:00PM - 05/26/2024 12:00PM",16.761,"Yes","6648139d660ad4ff63227565","0.0","0.0","no","2600:1700:8469:1820::23","Participant 80",
"05/26/2024 08:28AM","05/26/2024 08:28AM","05/25/2024 09:00PM - 05/27/2024 12:00PM",6.652,"Yes","664844b2660ad4ff632360ad",,,"no","10.162.131.159","Participant 81","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=664844b2660ad4ff632360ad"
"05/25/2024 09:14PM","05/25/2024 09:14PM","05/25/2024 09:00PM - 05/27/2024 12:00PM",11.771,"Yes","66488b577ef6a98d403bfc82","0.0","0.0","no","10.152.52.107","Participant 83",
"05/25/2024 09:01PM","05/25/2024 09:01PM","05/25/2024 09:00PM - 05/27/2024 12:00PM",56.313,"Yes","664867b9660ad4ff6323986e","0.0","0.0","no","10.143.135.92","Participant 85",
"05/27/2024 12:01PM","05/27/2024 12:02PM","05/27/2024 12:00PM - 05/27/2024 11:59PM",13.682,"Yes","664867b9660ad4ff6323986e","0.0","0.0","no","10.26.51.9","Participant 85",
"05/25/2024 09:01PM","05/25/2024 09:02PM","05/25/2024 09:00PM - 05/27/2024 12:00PM",48.415,"Yes","6648c6727ef6a98d403d5400","0.0","0.0","no","10.208.73.23","Participant 86",
"05/27/2024 12:02PM","05/27/2024 12:02PM","05/27/2024 12:00PM - 05/27/2024 11:59PM",28.014,"Yes","6648c6727ef6a98d403d5400","0.0","0.0","no","10.136.72.25","Participant 86",
"05/25/2024 09:32PM","05/25/2024 09:32PM","05/25/2024 09:00PM - 05/27/2024 12:00PM",9.997,"Yes","6648e188660ad4ff6325b19e","0.0","0.0","no","2601:249:1a7e:eac0::c481","Participant 88",
"05/26/2024 09:13PM","05/26/2024 09:13PM","05/26/2024 09:00PM - 05/28/2024 12:00PM",35.187,"Yes","66490bc27ef6a98d403ed351",,,"no","192.168.0.100","Participant 89","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=66490bc27ef6a98d403ed351"
"05/28/2024 12:00PM","05/28/2024 12:02PM","05/28/2024 12:00PM - 05/28/2024 11:59PM",97.002,"Yes","66490bc27ef6a98d403ed351",,,"no","192.168.0.101","Participant 89","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=66490bc27ef6a98d403ed351"
"05/26/2024 10:29PM","05/26/2024 10:30PM","05/26/2024 09:00PM - 05/28/2024 12:00PM",32.501,"Yes","6649b616660ad4ff632a3c1e","0.0","0.0","no","10.61.137.169","Participant 90",
"05/27/2024 08:44AM","05/27/2024 08:45AM","05/26/2024 09:00PM - 05/28/2024 12:00PM",9.673,"Yes","664859df7ef6a98d403bb444","0.0","0.0","no","10.227.38.42","Participant 91",
"05/28/2024 04:07PM","05/28/2024 04:07PM","05/28/2024 12:00PM - 05/28/2024 11:59PM",12.364,"Yes","664859df7ef6a98d403bb444",,,"no","172.20.10.3","Participant 91","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=664859df7ef6a98d403bb444"
"05/27/2024 09:26AM","05/27/2024 09:27AM","05/26/2024 09:00PM - 05/28/2024 12:00PM",18.349,"Yes","66486a00660ad4ff63239c3f",,,"no","172.20.10.3","Participant 92","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=66486a00660ad4ff63239c3f"
"05/28/2024 04:24PM","05/28/2024 04:24PM","05/28/2024 12:00PM - 05/28/2024 11:59PM",18.741,"Yes","66486a00660ad4ff63239c3f",,,"no","172.20.10.3","Participant 92","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=66486a00660ad4ff63239c3f"
"05/27/2024 01:47AM","05/27/2024 01:47AM","05/26/2024 09:00PM - 05/28/2024 12:00PM",23.707,"Yes","664a61ba660ad4ff632d6a88",,,"no","10.109.105.120","Participant 93","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=664a61ba660ad4ff632d6a88"
"05/27/2024 02:15PM","05/27/2024 02:16PM","05/26/2024 09:00PM - 05/28/2024 12:00PM",10.853,"Yes","664a8e4a660ad4ff632e7a78",,,"no","10.109.105.120","Participant 94","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=664a8e4a660ad4ff632e7a78"
"05/26/2024 09:03PM","05/26/2024 09:03PM","05/26/2024 09:00PM - 05/28/2024 12:00PM",10.19,"Yes","664a996c660ad4ff632f2b6f","0.0","0.0","no","fd52:da7:22e1:dd8f:147f:1e39:e002:9c43","Participant 95",
"05/28/2024 12:18PM","05/28/2024 12:19PM","05/28/2024 12:00PM - 05/28/2024 11:59PM",13.293,"Yes","664a996c660ad4ff632f2b6f","0.0","0.0","no","10.12.76.168","Participant 95",
"05/27/2024 09:11PM","05/27/2024 09:11PM","05/27/2024 09:00PM - 05/29/2024 12:00PM",19.651,"Yes","664ba102660ad4ff6335aca5",,,"no","192.168.0.119","Participant 96","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=664ba102660ad4ff6335aca5"
"05/29/2024 12:14PM","05/29/2024 12:14PM","05/29/2024 12:00PM - 05/29/2024 11:59PM",5.539,"Yes","664ba102660ad4ff6335aca5",,,"no","192.168.0.119","Participant 96","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=664ba102660ad4ff6335aca5"
"05/28/2024 09:04PM","05/28/2024 09:04PM","05/28/2024 09:00PM - 05/30/2024 12:00PM",13.642,"Yes","664bdcc9660ad4ff6337264c",,,"no","192.168.0.2","Participant 97","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=664bdcc9660ad4ff6337264c"
"05/27/2024 09:00PM","05/27/2024 09:00PM","05/27/2024 09:00PM - 05/29/2024 12:00PM",8.902,"Yes","664bf656660ad4ff633875c9",,,"no","100.114.244.153","Participant 98","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=664bf656660ad4ff633875c9"
"05/28/2024 09:40PM","05/28/2024 09:45PM","05/28/2024 09:00PM - 05/30/2024 12:00PM",245.291,"Yes","664c511c35c6ffacb4c65680",,,"no","192.168.0.105","Participant 99","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=664c511c35c6ffacb4c65680"
"05/28/2024 09:34PM","05/28/2024 09:34PM","05/28/2024 09:00PM - 05/30/2024 12:00PM",34.261,"Yes","664c8ad035c6ffacb4c6f679",,,"no","10.164.117.122","Participant 100","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=664c8ad035c6ffacb4c6f679"
"05/30/2024 12:06PM","05/30/2024 12:06PM","05/30/2024 12:00PM - 05/30/2024 11:59PM",18.222,"Yes","664c8ad035c6ffacb4c6f679",,,"no","10.164.113.61","Participant 100","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=664c8ad035c6ffacb4c6f679"
"05/28/2024 09:11PM","05/28/2024 09:11PM","05/28/2024 09:00PM - 05/30/2024 12:00PM",11.782,"Yes","664cb0accfaa164d863221bf","0.0","0.0","no","2001:48f8:4083:139::ead6:9f3f","Participant 101",
"05/29/2024 09:16AM","05/29/2024 09:16AM","05/28/2024 09:00PM - 05/30/2024 12:00PM",26.09,"Yes","664cd579cfaa164d863376ae",,,"no","192.168.1.120","Participant 102","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=664cd579cfaa164d863376ae"
"05/30/2024 12:00PM","05/30/2024 12:00PM","05/30/2024 12:00PM - 05/30/2024 11:59PM",25.126,"Yes","664cd579cfaa164d863376ae",,,"no","192.168.1.120","Participant 102","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=664cd579cfaa164d863376ae"
"05/28/2024 09:05PM","05/28/2024 09:12PM","05/28/2024 09:00PM - 05/30/2024 12:00PM",446.536,"Yes","664cd8a3cfaa164d86339400",,,"no","10.166.101.94","Participant 103","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=664cd8a3cfaa164d86339400"
"05/30/2024 12:00PM","05/30/2024 12:00PM","05/30/2024 12:00PM - 05/30/2024 11:59PM",19.889,"Yes","664cd8a3cfaa164d86339400",,,"no","10.0.0.1","Participant 103","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=664cd8a3cfaa164d86339400"
"05/29/2024 10:38AM","05/29/2024 10:38AM","05/28/2024 09:00PM - 05/30/2024 12:00PM",6.556,"Yes","664ce4f1cfaa164d86340d96",,,"no","192.168.0.131","Participant 104","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=664ce4f1cfaa164d86340d96"
"05/30/2024 12:02PM","05/30/2024 12:02PM","05/30/2024 12:00PM - 05/30/2024 11:59PM",14.008,"Yes","664ce4f1cfaa164d86340d96",,,"no","192.168.0.131","Participant 104","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=664ce4f1cfaa164d86340d96"
"05/28/2024 11:48PM","05/28/2024 11:49PM","05/28/2024 09:00PM - 05/30/2024 12:00PM",14.423,"Yes","664d202e35c6ffacb4cbf0f3","0.0","0.0","no","2600:1003:1001:cd9:7086:ee19:8c39:4897","Participant 105",
"05/30/2024 04:51PM","05/30/2024 04:52PM","05/30/2024 12:00PM - 05/30/2024 11:59PM",10.147,"Yes","664d202e35c6ffacb4cbf0f3","0.0","0.0","no","2600:1003:1001:cd9:754c:6549:4941:a47c","Participant 105",
"05/29/2024 12:02PM","05/29/2024 12:03PM","05/28/2024 09:00PM - 05/30/2024 12:00PM",100.75,"Yes","664d2c64cfaa164d86361b7e","0.0","0.0","no","192.168.43.35","Participant 106",
"05/29/2024 09:17AM","05/29/2024 09:17AM","05/28/2024 09:00PM - 05/30/2024 12:00PM",20.757,"Yes","664d2db7cfaa164d8636282b",,,"no","10.8.0.236","Participant 107","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=664d2db7cfaa164d8636282b"
"05/29/2024 12:53PM","05/29/2024 12:53PM","05/28/2024 09:00PM - 05/30/2024 12:00PM",9.936,"Yes","664d3515cfaa164d86366cf6",,,"no","10.8.0.96","Participant 108","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=664d3515cfaa164d86366cf6"
"05/29/2024 12:14PM","05/29/2024 12:14PM","05/28/2024 09:00PM - 05/30/2024 12:00PM",12.623,"Yes","664d5036cfaa164d8638213d",,,"no","172.26.1.42","Participant 109","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=664d5036cfaa164d8638213d"
"05/30/2024 12:02PM","05/30/2024 12:02PM","05/30/2024 12:00PM - 05/30/2024 11:59PM",21.58,"Yes","664d5036cfaa164d8638213d",,,"no","172.26.1.42","Participant 109","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=664d5036cfaa164d8638213d"
"05/28/2024 09:12PM","05/28/2024 09:12PM","05/28/2024 09:00PM - 05/30/2024 12:00PM",23.269,"Yes","664cb487cfaa164d863247a6","0.0","0.0","no","2600:6c46:68f0:14d0::1215","Participant 110",
"05/28/2024 09:46PM","05/28/2024 09:46PM","05/28/2024 09:00PM - 05/30/2024 12:00PM",17.153,"Yes","6648da0d7ef6a98d403dcdd5","0.0","0.0","no","192.168.0.85","Participant 112",
"05/29/2024 09:16PM","05/29/2024 09:17PM","05/29/2024 09:00PM - 05/31/2024 12:00PM",29.359,"Yes","664d9437cfaa164d8639b130",,,"no","192.168.1.194","Participant 113","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=664d9437cfaa164d8639b130"
"05/31/2024 12:13PM","05/31/2024 12:13PM","05/31/2024 12:00PM - 05/31/2024 11:59PM",11.475,"Yes","664d9437cfaa164d8639b130",,,"no","192.168.1.120","Participant 113","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=664d9437cfaa164d8639b130"
